Nombre,TipoVia,Tramo,Numero,Zona,DS,Codigo
"COMANDANTE G C REULA GOMEZ",CALLE,COMPLETO,0,NORTE,3_7,1063
"COMANDANTE RUIZ MARCET",CALLE,COMPLETO,0,NORTE,"1_6,1_10,1_16",41
COMETA,CALLE,COMPLETO,0,SUR,6_26,5093
"COMPAÑIA DE MARIA",CALLE,COMPLETO,0,SUR,"6_24,6_31",2059
"CONCEJAL MANUEL BELIZON",CALLE,COMPLETO,0,NORTE,1_5,5094
"CONCHA PEREZ BATURONE",CALLE,COMPLETO,0,SUR,"6_10,6_28",167
"CONDE DE FLORIDABLANCA",CALLE,COMPLETO,0,NORTE,1_4,62
"CONDE DE LA MARQUINA",CALLE,COMPLETO,0,SUR,6_25,3107
"CONDESA DE MORALES",CALLE,COMPLETO,0,NORTE,4_6,5030
"CONSTITUCION (DE LA)",AVDA,COMPLETO,0,SUR,"6_16,6_17,6_25,6_24",2074
"CONSTRUCTOR TAPIA",CALLE,COMPLETO,0,NORTE,1_15,1002
"CONSTRUCTORA NAVAL",CALLE,COMPLETO,0,NORTE,"3_3,4_5",1042
CORBETA,CALLE,COMPLETO,0,SUR,6_11,3029
CORDOBA,CALLE,COMPLETO,0,SUR,6_29,5132
"CORNELIO BALBO",AVDA,COMPLETO,0,SUR,6_12,4019
"CORONEL GABRIEL MOURENTE",CALLE,COMPLETO,0,SUR,6_19,3026
CORRELIMOS,CALLE,COMPLETO,0,SUR,6_8,5040
CORTA,CALLE,COMPLETO,0,SUR,6_24,2062
"CORTES (LAS)",CALLE,COMPLETO,0,CENTRO,4_1,1059
"COSTA RICA",CALLE,COMPLETO,0,SUR,6_31,2513
"CROQUER (DE)",CLLON,COMPLETO,0,NORTE,3_4,1079
"CRUZ ROJA ESPAÑOLA",CALLE,COMPLETO,0,SUR,6_9,1034
"CRUZ (DE LA)",RTDA,COMPLETO,0,NORTE,1_5,537
"CUARTEL DE INSTRUCCION",LUGAR,COMPLETO,0,NORTE,1_14,603
CUBA,CALLE,COMPLETO,0,SUR,6_31,2504
CUSTODIO,CALLE,COMPLETO,0,NORTE,1_1,88
"DANIEL GONZALEZ",CALLE,COMPLETO,0,NORTE,3_2,1046
DAOIZ,CALLE,COMPLETO,0,CENTRO,"4_1,5_2",1044
"DIEGO DE ALVEAR",CALLE,COMPLETO,0,NORTE,3_4,1098
"DIRECTOR DEL OBSERVATORIO - TOMAS AZCARATE",CALLE,COMPLETO,0,CENTRO,5_1,2136
"DOCTOR ARCOS DE LA PLAZA",CALLE,COMPLETO,0,NORTE,3_1,1193
"DOCTOR BARRAQUER",CALLE,COMPLETO,0,NORTE,3_5,1040
"DOCTOR CELESTINO REY-JOLY",CALLE,COMPLETO,0,SUR,"6_17,6_27",1184
"DOCTOR CELLIER",CALLE,COMPLETO,0,CENTRO,"5_4,5_5",1033
"DOCTOR EROSTARBE",CALLE,COMPLETO,0,NORTE,1_6,68
"DOCTOR FRANCISCO COBOS",CALLE,COMPLETO,0,NORTE,"1_16,1_7,1_8,1_12,2_1",76
"DOCTOR JIMENEZ DIAZ",CALLE,COMPLETO,0,NORTE,3_5,91
"DOCTOR MARAÑON",CALLE,COMPLETO,0,NORTE,3_5,1053
"DOCTOR PEDRO GONZALEZ DE LA TORRE",CALLE,COMPLETO,0,SUR,6_31,3101
"DOCTOR PEDRO VELEZ",CALLE,COMPLETO,0,CENTRO,5_7,90
"DOCTOR REVUELTA SOBA",CALLE,COMPLETO,0,CENTRO,5_6,3041
DOLORES,CALLE,COMPLETO,0,CENTRO,5_3,1029
"DON JORGE",CALLE,COMPLETO,0,CENTRO,5_5,239
DRAGO,CALLE,COMPLETO,0,NORTE,4_4,2080
"DUQUE DE ARCOS",AVDA,COMPLETO,0,SUR,"6_12,6_22",3024
ECUADOR,CALLE,COMPLETO,0,SUR,6_31,2511
"EMPERADOR CARLOS",PLAZA,COMPLETO,0,SUR,6_20,3052
ESCAÑO,CALLE,COMPLETO,0,NORTE,3_2,59
"ESCOPETEROS SALINEROS",CALLE,COMPLETO,0,SUR,6_8,1019
"ESCORIAL (EL)",CALLE,COMPLETO,0,NORTE,"1_4,1_13",78
"ESCRIBANO DE LA TORRE CANALES",CALLE,COMPLETO,0,NORTE,1_17,5183
"ESCRIBANO GUTIERREZ DE MORON",CALLE,COMPLETO,0,NORTE,1_17,5184
"ESCRITOR FRANCISCO MONTES AGUILERA",CALLE,COMPLETO,0,NORTE,4_5,1175
"ESCRITOR GERMAN CAOS",CALLE,COMPLETO,0,NORTE,1_5,5156
"ESCRITOR LUIS BERENGUER",CALLE,COMPLETO,0,SUR,6_17,276
"ESCRITOR MANUEL BARRIOS",CALLE,COMPLETO,0,CENTRO,5_6,3089
"ESCRITORA MARIA ZAMBRANO",CALLE,COMPLETO,0,SUR,6_26,2013
"ESCUELA DE SUBOFICIALES",LUGAR,COMPLETO,0,NORTE,1_14,126
"ESCULTOR ALFONSO BERRAQUERO GARCIA",CALLE,COMPLETO,0,NORTE,3_2,5359
"ESCULTOR ANTONIO BEY",CALLE,COMPLETO,0,NORTE,1_11,1064
"ESTERO (DEL)",PLAZA,COMPLETO,0,NORTE,1_12,69
ESTOPIÑAN,CALLE,COMPLETO,0,NORTE,1_17,5160
ESTRELLA,CALLE,COMPLETO,0,SUR,6_26,5215
FALUCHO,CALLE,COMPLETO,0,SUR,6_15,163
"FEDERICO GARCIA LORCA",CALLE,COMPLETO,0,SUR,6_14,3097
"FELIPE II",CALLE,COMPLETO,0,NORTE,1_1,112
FERROCARRIL,CALLE,COMPLETO,0,NORTE,1_9,281
"FERROL (EL)",CALLE,COMPLETO,0,NORTE,1_8,95
FLAMENCO,CALLE,COMPLETO,0,SUR,6_8,5037
FLORENCIA,CALLE,COMPLETO,0,NORTE,1_9,50
"FLORES (LAS)",PLAZA,COMPLETO,0,NORTE,1_5,586
FRAGATA,CALLE,COMPLETO,0,SUR,6_11,1035
"FRANCISCO DE LA VEGA",CALLE,COMPLETO,0,SUR,6_31,5171
"FRANCISCO JAVIER DE URIARTE",CALLE,COMPLETO,0,NORTE,1_15,5351
"FRANCISCO RUIZ MIGUEL",CALLE,COMPLETO,0,NORTE,3_8,1222
"FRAY GERONIMO DE LA CONCEPCION",CALLE,COMPLETO,0,NORTE,1_17,5064
FRESADORES,CALLE,COMPLETO,0,NORTE,1_9,294
FRESIA,CALLE,COMPLETO,0,CENTRO,6_1,2068
"GABRIEL GONZALEZ CAMOYANO",CALLE,COMPLETO,0,NORTE,1_9,63
GALAXIAS,CALLE,COMPLETO,0,SUR,6_26,5059
GALEON,CALLE,COMPLETO,0,SUR,6_11,3040
GALERA,CALLE,COMPLETO,0,SUR,6_11,3053
GALIANO,CALLE,COMPLETO,0,SUR,6_28,2069
"GALICIA (DE)",PLAZA,COMPLETO,0,NORTE,1_8,5238
GALON,CALLE,COMPLETO,0,CENTRO,5_1,1225
GARZA,CALLE,COMPLETO,0,SUR,6_8,5038
"GASPAR FERNANDEZ DE LEON",CALLE,COMPLETO,0,NORTE,1_1,127
"GENERAL FLORENCIO MONTOJO",CALLE,COMPLETO,0,NORTE,"1_7,1_8,1_10",64
"GENERAL GARCIA DE LA HERRAN",CALLE,COMPLETO,0,CENTRO,"4_1,4_4,4_5,4_6,5_6",2101
"GENERAL LOBO",PASEO,COMPLETO,0,NORTE,1_16,93
"GENERAL PUJALES",CALLE,COMPLETO,0,CENTRO,"5_6,5_7",1104
"GENERAL RICARDO OLIVERA",CALLE,COMPLETO,0,SUR,6_22,2081
"GENERAL SERRANO",CALLE,COMPLETO,0,CENTRO,4_1,2118
"GENERAL VALDES",CALLE,COMPLETO,0,CENTRO,"5_3,5_4",2083
GOLETA,CALLE,COMPLETO,0,SUR,6_11,2066
GOLONDRINA,CALLE,COMPLETO,0,SUR,6_8,405
"GONZALEZ DE LA VEGA",CALLE,COMPLETO,0,NORTE,3_3,1055
"GONZALEZ HONTORIA",CALLE,COMPLETO,0,NORTE,4_5,1100
"GONZALO DE CORDOBA",CALLE,COMPLETO,0,NORTE,"1_7,1_12",70
GORRION,CALLE,COMPLETO,0,SUR,6_8,412
GOYA,CALLE,COMPLETO,0,NORTE,1_4,97
GRANADA,CALLE,COMPLETO,0,SUR,6_29,5133
"GRANJA (LA)",CALLE,COMPLETO,0,NORTE,1_4,101
GRAVINA,CALLE,COMPLETO,0,NORTE,3_6,1089
GUACOLDA,CALLE,COMPLETO,0,CENTRO,6_1,2107
GUATEMALA,CALLE,COMPLETO,0,SUR,6_31,2516
"GUTIERREZ AGABO",CALLE,COMPLETO,0,NORTE,1_7,86
"HERMANAS CARMELITAS",CALLE,COMPLETO,0,SUR,"6_24,6_31",3139
"HERMANOS ALVAREZ QUINTERO",CALLE,COMPLETO,0,CENTRO,5_6,3106
"HERMANOS DE LA SALLE",CALLE,COMPLETO,0,SUR,6_26,3051
"HERMANOS LAGARDE",CALLE,COMPLETO,0,NORTE,1_6,107
"HERMANOS LAULHE",CALLE,COMPLETO,0,CENTRO,4_1,1123
"HERMANOS MACHADO",CALLE,COMPLETO,0,SUR,6_14,4139
"HERMANOS PINZON",CALLE,COMPLETO,0,NORTE,1_14,5033
"HERNAN CORTES",CALLE,COMPLETO,0,NORTE,"1_8,2_1,3_2",116
"HEROES DE CAVITE",CALLE,COMPLETO,0,CENTRO,5_7,1111
"HEROES DEL BALEARES",CALLE,COMPLETO,0,CENTRO,5_4,2100
"HERRAN (LA)",CALLE,COMPLETO,0,NORTE,"3_4,4_2",1073
HONDURAS,CALLE,COMPLETO,0,SUR,6_31,2512
"HORNOS PUNICOS",PLAZA,COMPLETO,0,CENTRO,"5_1,6_10,6_29",5165
HUELVA,CALLE,COMPLETO,0,SUR,6_29,5134
"HUERTA CASTAÑEDA",LUGAR,COMPLETO,0,SUR,6_31,545
"HUERTA DE LAS FLORES",LUGAR,"",0,"","",2160
"HUERTA ENCARNACION",LUGAR,COMPLETO,0,NORTE,1_5,180
"HUERTA LOS TORILILLOS",LUGAR,COMPLETO,0,SUR,6_24,2182
"HUERTA REVERBERO",LUGAR,COMPLETO,0,NORTE,1_5,224
"HUERTA SAN IGNACIO",LUGAR,COMPLETO,0,SUR,6_31,524
"HUERTA SAN JOAQUIN",LUGAR,COMPLETO,0,SUR,6_26,4064
"HUERTA SANTA ROSA",LUGAR,COMPLETO,0,NORTE,1_14,261
